,family,ventas,devoluciones
6,jeans,1510481,1888546
8,pant,1176652,1760704
14,top,1103393,1412553
13,sweater,1074829,1462049
5,jacket,988888,1585261
10,shirt,913182,1278306
16,tshirt,797982,1135348
12,skirt,738923,1222739
1,cardigan,654192,860191
3,dress,543687,1004516
11,short,273393,358502
4,fular,230738,335798
0,bag,225585,463665
9,scarf,192077,273784
7,jumpsuit,190260,297242
2,coat,69778,127560
15,trench,34714,75166
